Nazwa produktu,Białko (g),Węglowodany (g),Tłuszcz (g)
Ryż brązowy długoziarnisty,7.5,75,2
Kasza pęczak kujawski,8,71,1.3
Siemię lniane złociste,22,2,44
Ciecierzyca,21,36,5.4
Czerwona soczewica,26.9,37.8,1.7
linseed,22,25,43
Ryż brązowy basmati,7.7,72,3.2
Pestki Dyni Łuskane,34,3.9,44
Cieciorka konserwowa,6.3,15.8,2.5
Siemię lniane,22,0.6,43
Sweet corn,3,13,1.6
Ekologiczne siemię lniane brązowe,18,29,42
Ciecierzyca ziarno,18,35,5.6
Pęczak Kasza Jęczmienna,11.4,62.4,1.1
Dinkelkörner,17,60,1.7
Kasza jęczmienna wiejska,11,65,0.6
popcorn ziarno do prażenia,11,70,3.1
Ryż parboilled,8.1,80,1
Płatki jaglane,8,72,1.5
Ekologiczna soczewica zielona,19,58,5.5
mix plony natury,7,75,1
Weisse Bohnen Eintopf mit magerem Schweinfleisch,4.7,9.5,1.9
Amarantus,15,57.5,7.5
Bio Kichererbsen,6.5,14,2.7
Soczewica w zalewie,7.9,15,0.5
Ekologiczny młody jęczmień,28,41,4.1
Tahini,26,10,60
BIO Konopia nasiona łuskane,34,3.1,48
Kasza gryczana biała,13,65,2.6
Fasola Piękny Jaś karłowy,21,46,1.6
Słonecznik prażony,15,12,25
Słonecznik prażony solony,29,4.3,54
SonnenBlumenKerne,27.9,3,57.3
Ciecierzyca gotowana cała,7.7,16.3,2.7
Kukurydza konserwowa super słodka,3.2,11,0.6
ekologczny popcorn,12,57,4
Cieciorka,7,23,1.1
kasza kukurydziana,8.8,78,1.2
Yellow rice,7,77.2,10.5
Popcorn Bio Ziarno niebieskiej kukurydzy,10.7,60.7,5.1
"Lunch time - ryż, vermicelli, marchewka, groszek, bazylia",8.9,73,1.2
Pestki dyni bez łupiny,34,3.8,49
Słonecznik turecki,27.1,3.9,55.1
Ryż jasminowy długoziarnisty,6.8,77,0.8
Groch Łuszczony,23.8,60.1,1.4
Kaszka kukurydziana gruba,4.6,81.3,1
Płatki ryżowe,6.7,77,0.7
Sezam łuskany,18,23,50
ekologiczny sezam niełuskany,18,12,50
ekologiczny amarantus,15,66,6.5
fasolka mung,23,41,1.2
Ryż Basmati Długoziarnisty,7.8,78,0.6
Spicy seeds,18.8,15.3,48.3
Nasiona Chia,17,42,31
K-take it veggie Bio Brotaufstrich Ananas Curry,3.3,12,35
Błonnik witalny,15,3.2,6.2
Ekologiczny sezam czarny niełuskany,21,10,51
Fasola biała,21,35,1.6
Riz go bio,7,76,1
Ryż biały amerykański,8.1,78.7,1
Нут в розсолі,7.2,15,2.3
Ryż parboiled Długoziarnisty,7.4,74,0.4
Quinoa Trójkolorowa,13,70,3.8
Ryż Basmati Pełnoziarnisty,9,69,3.1
Ryż biały okrągły,7.7,77,1.1
Cannellini Beans in salted water (20166076),6.1,12.5,0.6
ryż biały,7.2,79,0.7
White Beans big,23,60,0.9
Unhulled black sesame seeds,21,10,50
Ryż preparowany o smaku owocowym,4,87.6,0.7
Pois chiches,6.5,14,2.4
Nakato sushi rice,7.4,76.2,1.4
Pâtes spaghetti n°5 1kg,13,71,2
Riisinuudelit,7.5,78,1.3
soba noodles,12,69.6,1.4
Lasagnes,3.6,5,0.2
Nouilles de blé poulet teriyaki,4.9,30,11
Spaghetti,13,70,1.9
Kurczak Zloty,1.3,9.1,3.3
