Nazwa produktu,Białko (g),Węglowodany (g),Tłuszcz (g)
Ptasie mleczko,3.5,58,22
WW,7.5,61,29
Fruit gummies,1,75,2
Jeżyki Kokos imp,5.6,60,25
Złote Misie,6.9,77,0.5
Mini Marshmallows - arôme naturel de vanille,3.2,79,0.5
Veggiefant,0.5,84,0.5
TicTac Orange,0.1,96.7,0.7
Kinder delice,9.8,56,28
Himbeer-Schnüre,0.3,89,1.6
Marshmallows,4,80,0.5
Mega Grześki Toffi,7.8,59,29
Śmiej żelki kwaśne gwiazdki,0.1,82,0.1
mini grzeski,9.4,54,30
Tagada Pink et pik,2.8,88,0.5
Czekolada Gorzka O Smaku Espresso,5.9,49,33
Głodny wilk na tropie truskawkowy,1.4,79,0.4
Herbatniki w masie czekoladopodobnej (49%),7.2,62,24
Zozole sticks,0.8,86,2.3
F**king Delicious snack bar caramel peanut,9.5,37.5,27.5
Cola,2.3,84,2.1
Rolada Cytrynowa,4.1,63,11
Marshmallows Mix,4,80,0.5
Ba! 5 Bakalii,4,76,6.8
WW gorzka czekolada,6.8,51,27
Strong & rich coffee candy,0.6,86.2,9.9
Śmiej żelki happies,6.5,75.3,0.1
Fruit-tella,1.6,70,5.6
Karmelki twarde mleczne,0.6,91,4.6
Toffino creamy,3,70,22
Wafel przekładany kremem orzechowym w czekoladzie mlecznej.,9,54,31
Karmelki mleczne,0.6,90.7,4.6
Kiss-Cola (confiserie gélifiée goût cola),0.5,86,0.5
Kraina Czarów Rainbow-Edition,0.1,84,0.2
Żelki owocowe wzbogacone witaminami,6.5,75.4,0.2
Chalwa sezamowa,8.7,58.2,27.6
Nadziewane ziołowe cukierki z melisa i witaminą C,0.1,94,0.1
Estella orzechowa XXL,6.9,57,31
Estella kokosowa,6.5,58,30
"Nimm 2 Boomki musss - pomarańcza, jabłko, wiśnia, cytryna",0.1,84.2,3.8
Cukierek rozpuszczalny o smaku marakui z wiórkami kokosowymi,0.5,80,9.8
Rurki waflowe z kremem o smaku waniliowym,6,62.5,25.3
Wafle o smaku toffi,7.3,59,28
Nadziewane ziołowe cukierki z szałwią i Wit. C,0.1,94,0.1
Jeżyki coolki dark,6.8,57,29
Ups! Karmelki mleczne,1.7,89,6.1
Owocowe żelko-pianki,4.7,78,0.5
Protein Balls,17,29,43
Fruit sticks - Truskawka,1.6,76,0.4
Wafle przekładane nadzieniem o smaku krówkowym,3.3,63,21
Toffino Choco,2.8,70,22
Fruit & Veggie,0.1,80,0.2
Mega Roulette,6.9,77,0.5
Christmas Time (Confiserie gélifiée),5.7,77,0.5
Tic Tac Apple Mix 18G,0.1,95,0.4
Cukierki kakaowe,4.5,78,8
Zelki be raw,1.9,76.3,0.6
Śliwka w czekoladzie,4.1,74,8.9
Trolli Confiserie gélifée,5.4,77,0.1
Cukierek rozpuszczalny o smaku brzoskwiniowym,0.5,82,9.2
Podniebne Mleczko o smaku kokosowym,2.8,62,20
kakaokiks,4.9,69,20
Mix dekoracji Nocne niebo,0.3,95,1.4
Draże Wiking kakaowe,3.8,77,15
Schokolinsen,4.1,75,16.2
NUTLOVE PRALINES milk choco nugat,3,54,37
Grzeski gofre,8.8,55,31
Cukierek kawowy,0.9,85.4,11.5
Chocolate Bananas,2.8,78.9,9.3
Fruit chews candy,0.3,88.5,4
Cukierki czekoladowe z orzechami arachidowymi,8.7,49,28
Sezamki/Sesame,15,52,29
Chałwa sezamowa kakaowa,13.1,51.9,31.6
Kitkat Chunky Original,8.2,58.6,27.3
Halsbonbon Kraeuter,0.5,96,0.5
Chocolate jellies,1,80.2,5.8
Cukierek rozpuszczalny o smaku truskawkowym i malinowym,0.5,81,9.2
Cukierek rozpuszczalny o smaku mango,0.5,82,9.1
Cukierek rozpuszczalny o smaku jagodowym,0.5,81,9.2
Cukierek rozpuszczalny o smaku czarnej porzeczki i jabłka,0.5,81,9.2
haribo jelly beans,0.5,93,0.5
Praliny z czekolady mlecznej,5.7,53.9,32
Baton karmelowy z orzechami arachidowymi w mlecznej czekoladzie,9.3,51,29
Żelko-pianki owocki,0.5,82,0.5
nimm2 Boomki,0.1,87.5,3.4
Toffifee,6,59,28.8
Karmelki twarde kawowe o smaku espresso,1,90,6.3
Nagie Góralki extra kakaowe,9,51,32
Haribo Supermix,6.3,80,0.5
Estella toffi XXL,6,57,32
haribo Easter-Egg,4.7,81,0.5
Michałki,12,45,33
Littlemooonster96,6.6,74,0.1
Haribo Berry dream,3.4,79,0.4
Żelki serduszka,6.7,74,0.5
Wafelek przekładany kremem kakaowym w czekoladzie,5.9,55,32
Vege wesołki smak czerwone owoce,0.2,81,0.2
"Hazelnut spread chocolate candies, hazelnut spread",3.6,64.3,25
Hafer Milch Barista Edition,1.1,7.1,3
Délicieuse & Tropical Coco,0.1,2.7,0.8
"Alpro Sojadrink, Schokoladen-Geschmack, Protein 1L",5,5.3,2.8
Boisson au soja,3,1,1.7
Amande Sans sucres,0.7,1.7,1.7
Apple Juice,0.1,10.4,0.1
Bio-Haferdrink Natur,1.1,8.2,0.8
SOJA à la VANILLE,3.2,4,1.8
Hafermilch Barista,0.9,6.3,3.2
Amande intense,1.7,4.9,4.1
Boisson au cacao et à l'avoine,0.6,9.1,1.5
Riz Sans sucres ajoutés**,0.5,11,1.3
Amande à la vanille,0.5,4.9,1.4
Coconut Milk,1.6,2,19
Напитка овес,0.8,6.7,3
Lait de coco premium saveur,1.6,2,19
Barista Haver (new),0.8,6.7,3
AVOINE au CACAO,1.3,7.5,1.9
Сок от портокал от концентрат,0.7,9.8,0.1
Jus multifruits,0.1,11.6,0.1
Plant protein (chocolate flavour),5,5.3,2.8
Amande douceur,0.6,4.1,1.5
Soja douceur,3.7,3,2.1
Orangensaft,0.7,9.1,0.2
Sok 100% tłoczony na zimno Ananas Melon Mango,0.6,10.8,0.1
K-take it veggie Organic Drink Almond unsweetened,0.5,1.1,1.4
Sok 100% multiwitamina,0.5,11,0.5
Cappuccino Vanilata,1.1,9.2,0.6
Puchatek,4.5,80,2.1
Boisson de riz et quinoa,0.5,12,1
Migdałowe bez dodatku cukru,0.7,6.7,1.7
Owsiane,0.4,5.7,0.7
Napój gazowany Vital Red,0.5,4.9,0.5
"Alpro Reis‐Kochcrème Cuisine, 250 ml",0.5,5.4,7.9
Owsiane smoothie wiśnia i banan,0.5,9.9,0.2
Mleko migdalowe,0.6,3.7,1.4
Málnaízű szörp édesítőszerekkel,0.1,0.8,0.1
Soja,3.3,3.2,1.8
Ryż,0.3,13.4,1
Caffè latte,2.8,8.9,2.6
Napój roślinny owies bio,0.7,7.8,0.8
K-take it veggie Organic Oats Vanilla Drink 1l,0.5,6.8,1.2
Caramel Macchiato star bucks,2.7,9,1.4
Mus wieloowocowy z dodatkiem kaszy manny i płatków owsianych,1.4,18,0.5
Thé Vert Bio Menthe Orient 20 Sachets,0.5,0.5,0.5
Sirop grenadine,1,76,1
Barista owies,1.7,5.5,3
Sok 100% jabłko,0.5,10,0.5
Just Plants Owies,0.7,6.3,3
K-take it veggie Bio Mandeldrink gesüßt,0.4,4.1,1.1
CAPPUCCINO Decaffeinato,18,63,0.5
CAPPUCCINO Chocolate,1.3,8.7,0.6
Barista owsiane bez dodatku cukru,0.8,6.7,3
Pur Jus de Mandarine,0.6,8.9,0.1
Jus d'orange 100%,0.6,9.8,0.5
Mleko owsiane,0.7,7.8,0.8
Premium Apfelsaft Naturtrüb,0.5,11,0.5
Napój Wieloowocowy,0.5,8.4,0.5
Sok 100% Pomidor,0.8,2.7,0.5
Frappé 3in1,10.2,76.2,3
smoothie Kokos Ananas Banan Pomarańcza,0.7,14,1.1
Napój wielowocowy Czerwone owoce,0.5,8.4,0.5
Rasperry with Lemon Syrup,0.5,77,0.5
"Napój ryżowy z wapniem, UHT",0.2,11,1
CocoJogu klasyczny,0.4,5.9,5.1
Eatyx Czekolada,4.2,2.6,3.6
Apple carrot raspberry juice,0.4,9.1,0.2
Energy Drink,0.5,11,0.5
Owsiane smoothie mango i banan,0.5,12.7,0.2
Owsiane smoothie,0.5,9.2,0.2
Soja Bio,3.5,1.3,1.9
Rivia Marchew Brzoskwinia Jabkło,0.5,7.9,0.5
Cappuccino,1.7,5.3,0.5
K-take it veggie Organic Oats Drink 1l,0.3,8,1.2
Barista Haferdrink,1.1,6.7,3.4
Owies,0.6,7.8,2.1
Nektar bananowy,0.5,10,0.5
Organic rice drink,0.1,9.7,1
Organic Soy drink,3.9,0.5,2.4
K-take it veggie Organic Oats Choco Drink 1l,0.5,9.6,0.5
smoothie Ogórek Burak Seler Jabłko Banan,0.6,10.2,0.3
Sok jabłkowy 100% z dodatkiem witaminy C,0.5,11,0.5
Kakao Nestle Rozpuszczalne Nesquik 400G,4.6,78,3.6
Vitamini JABŁKO MARCHEW MALINA,0.5,7.5,0.5
Oat drink,0.6,6,1.4
Ultra black,0.5,9.2,0.5
Sok 100% burak z jabłkiem,0.8,8,0.5
Max Force - gazowany napój energetyzujący z tauryną i kofeiną,0.5,10.4,0.5
Zenek energy drink,0.5,10.8,0.5
Tymbark Just Plants owies migdał,0.8,6.8,1.3
Sok 100% pomidorowo-warzywny,1,3.1,0.5
Napój owsiany z wapnem i witaminami,0.4,6,1.3
Migdałowe,0.4,0.1,1.2
Lemon - Boisson aux fruits et au thé aromatisée à la pêche,0.5,4.1,0.5
Nektar banan,0.5,8.9,0.5
Owsiane smoothie jagoda i gruszka,0.5,9.9,0.2
Napój energetyczny gazowany o smaku owocowym z aminokwasami,0.1,10.8,0.5
Sok 100% pomidor pikantny,0.8,2.4,0.5
Original Coconut Milk U.H.T,0.1,4,2.7
Tropical,0.5,11,0.5
Oat flakes,14,59,7
Granola Sante Czekoladowa,9.1,72.7,16.4
Premium muesli frutos secos y fruta,7.9,60.5,9.7
Flocons d'avoine,12,60,6.8
Sonnenmais,2.6,11.5,1.7
Corn flakes original,8,83,1.2
Müsli Multifrucht,9.1,60.8,5.3
Sante gold granola,9.8,61,18
Corn flakes,7.4,85,1.1
Crunchy Chocolat noir intense,8.5,65,16
Traube-Nuss Müsli 68% Vollkorn,10.8,53.6,10.6
Flocons d'avoine complete,12,59,6.6
Céréales cœur fondant,9.2,65,12
Stylesse Nature,8.7,80,1.5
MUESLI & Co 7 FRUITS SECS,9.1,64,5.8
Galettes Riz complet,7.9,81,3
Fibra,8.9,66,6.6
Pétales au chocolat Blé complet,9.3,74,3.4
Galettes épeautre,20,61,1.9
Stylesse Chocolat Noir,8.3,76,5.3
Granola Orzechowa,12,61,17
sante fit granola strawberry and cherry,8.8,64,12
Stylesse Fruits rouges,8.1,78,1.4
"Protein Granola - hazelnut, almond, chocolate",21,44,15
CROCKS Goût CHOCO-NOISETTE,6.6,75,13
Muesly croustillant cruchy chocolat noir intense,8.5,65,16
Crunchy,11,57,15
Sante Crunchy Crispy Muesli Banana With Chocolate 350G,7.7,67,15
Choco Bollz,8.7,77,2.4
Galettes de riz Chocolat Noir,7.3,60,23
Galettes 4 Céréales,8,80,2.6
protein granola,20,46,12
Pétales de maïs,8,83,1.2
Choco Rice,7.1,81,2
Galette de maïs Chocolat Noir,7.1,61,23
Crunchy 3 chocolates,9.5,66,19
Crunchy 4 noix,9.7,58,21
Crunchy 5 fruits secs,7.4,63,17
Muesli chocolat,12.3,64,8.3
Crunchy chocolat au lait,9.4,56,17
Meusli Fruits et Chocolat Blanc,11.1,61.4,8.4
Wizzy Crisp,9.2,81,1.9
Céréales chocolat cœur aux noisettes,9.4,59,15
Nestle Corn Flakes,7.4,82.9,1.4
Nesquik Mix,8.2,75.1,3.5
kernel & saaten granola,18,24,42
Nestle Chocapic,8.9,73.6,4.8
Płatki Owsiane Górskie,13,60,5.7
Muesli crujiente con frutos secos,8.5,66,15
Nestlé Fitness P?atki z Pe?nego Ziarna Pszenicy 425 g,9.8,74.7,1.5
Flocos de Aveia Instantâneos,12.6,59.6,6.8
Fibra original,11,71,2.2
Nesquik,8.4,75.8,1.7
Crunchy Chocolat au lait & Noisettes,9.7,61,20
Cini Minis Scorțișoară,6.1,73.4,10.3
Cini Minis,5.5,74.6,10.1
Wafle ryżowe w czekoladzie mlecznej,8.2,64.8,19.4
Goldini,8.5,81.2,5.1
Fitness Granola,8.7,64.9,13.3
Muesli Protein,24.2,42.9,13.9
Pétales de Blé Goût Chocolat,8.6,80,1.9
Choco Curlz,9.9,75,4
Shreddies: the coco one,9.7,72.3,2.4
Crunchy chocolat saveur caramel,8.2,67,18
Pâte feuilletée fourrée d'abricot,3.5,58,19
Stylesse CHOCOLAT AU LAIT,8.2,77,5.1
Porridge au chocolat,12.5,58.8,8.6
Kukurydza Złocista,2.7,11,1.4
MUESLI & Co 2 CHOCOLATS & NOISETTES,9.7,62,14
CR'OCKS au chocolat au lait,6,70,12
Crunchy Chocolat noir Noisette,9.3,54,19
Extra thin corn cakes,8.2,81,3
Rice cakes natural,8.2,79.5,2.3
Strawberry Minis,6.2,73.3,10.3
Křupavé müsli s ovocem,7,67,17
Honey ballz,6.2,87,0.8
Cr'ocks coeur fondant lait,7.4,70,13
Snow flakes,5.7,88,0.8
Crunchy Fraises,8.8,64,15
Galettes de riz Chocolat au lait,7.5,63,24
Musli,8.4,59.5,4.6
Eiwitgranola,28,39.3,14.5
Sonko Chocolate Coated Rice Cakes,8.2,63,20
Fitness fruits,7.7,74.1,2.8
Crownfield Płatki owsiane górskie,12.5,55.9,6.3
Fruit musli,9,60,4.9
Fibra 5 fruits secs,8.9,66,6.6
Miami Hopki,9.2,73.7,2.1
Granola,9.9,58.7,21.1
Blé soufflé Caramélisé,11,78,1.5
Crunchy dark chocolate,8.5,65,16
KASZA GRYCZANA PRAZONA,4.2,20,0.8
Boules de maïs au miel,5.4,88,1.1
Porridge,11,64,8
Fibra 5 dried fruits,8.9,66,6.6
Couscous grains moyens,13,69,1.8
Cornflakes,7.2,83,0.8
Wafle ryżowe naturalne,8.4,77.4,3.1
Wafle ryżowe musli,8,78,5
NESTLE FITNESS Honey Flavour Fiber Cerealien,10.1,63.4,3.8
Ciniminis churros,7.3,75.8,5.8
Choco Balls,9.2,73.6,2.2
galette de riz brun,9.7,76,6.4
Nestke Gold flakes,7.6,80.3,4.6
Riz soufflé au chocolat,9.2,77,4.4
Kukurydza słodka,2.9,11,1.8
Wafle ryżowe ze słonecznikiem,9.2,77,3.6
Lion WildCrush,5.3,65,15.3
Fruit Granola,11.3,62.9,8.4
Owsianka Żurawina,10.5,65.3,5.6
Herbatniki,8.9,71,13
Mini galettes de riz Chocolat noir,6.2,65,20
Corn flakes choco,6.1,81.7,3.7
Płatki owsiane,14.1,54.1,7
Płatki owsiane błyskawiczne,12.8,59.6,6.8
Muesli clásico,9.1,64,5.8
"Kuskus perłowy z ciecierzycą, fasolką i hummusem",5.8,15,7
Kukuřičné lupínky,8.5,83,1.9
Boules De CÉRÉALES,9.7,73,3.2
Choco kulki,9,71,4.5
Mąka orkiszowa pełnoziarnista typ 2000,13,59,2.3
Owsiankaowoce i orzechy,11.9,57.1,8.2
"Owsianka z bananami, kakao",2,13,1.9
Rice & Corn Cakes Paprika BBQ,6.9,76,8.9
Nápoj s ovsem s čokoládovou příchutí,0.7,11.5,1.9
Choki,8.9,74.5,3.1
Cookie crisp,6.9,76.1,5.2
Vitanella Granola z czekoladą,9.2,63.6,18.4
Kasza bulgur,11,70,1.5
Wafle Kukurydziane,7,75,9
Trix,6.4,78.9,4.3
CROCKS Lait,7.4,70,13
Muesli for focused ones,14.9,47.8,17.1
Kukurydza konserwowa,1.6,8.1,1
Ciasteczka zbożowe,9.3,59.1,18.5
Stylesse FAIBLE TENEUR EN SUCRES,13,77,1.1
Musli premium,8,59.4,12.6
Fibra cioccolato,11,67,7.2
Lentilles rouge au curry,14.1,58.1,5.5
Cocoacrush,7.4,63.9,14.2
Mąka pszenna typ 650,12,70,1.5
Cheerios Owsiany,10.4,65.7,6.3
Cereales Form fruits rouges,8.1,78,1.4
Crocks choco,7,72,13
GO ACTIVE  granola wysokobiałkowa,30,37,18
Mąka pszenna Szymanowska 480,12,71,1.5
Mąka kukurydziana,8.3,73,2.1
Mąka extra pszenna Typ 405,12,73,1.3
Kasza pęczak jęczmienny,11,62,1.1
Smakowite ciasto francuskie,4.9,33,23
Kakaové lupínky,8.9,74.6,2.9
Orito kakaowe,7.7,61.6,17.5
Porridge Orange,12.5,56.2,7.2
X'trem céréales coeur fondant au lait - maxi pack,7.4,70,13
Galettes MAÏS,6.5,85,0.7
Płatki orkiszowe,13,64,3.3
Bulgur kasza zvermicelli(with vermicelli),13,53,1.8
Corn Cakes Sour Cream And Onion,8,76,8.9
Płatki owsiane Górskie XXL,14,72,6.8
Rice cakes,10.6,75.2,4.3
Kukurydza gold,2.9,11,1.8
Crunchy z żurawiną musli prażone,9.5,64.4,14.7
Premium Granola Neo,9.5,65,16
Płatki owsiane-górskie błyskawiczne,12,62,7.2
X'trem au chocolat,7,72,13
Crunchy owocowe,7.9,62,12
Baton musli z owocami,8.1,60,16
Crocks Choco-Noisette,6.6,75,13
Crocks mix,6.5,69,12
Couscous aux épices,12,70,3
Couscous,12,70,1.5
Platki zytnie,6.8,77,1.3
Kasza manna,9.5,74.2,1.3
Tahini klasyczne,25,3,60
Wafle ryżowe z kukurydzą o smaku pizzy- Jumbo Pizza,7.5,75,8
Rożek Dolce Giacomo,6.9,73,7.1
CROCKS Goût CHOCOLATE-AVELLANA,7,74,12
Wafle kukurydziane z solą morską,11,77,2.3
choco piegotaki,8,80,2.2
Porridge chocolate,12.5,58.8,8.6
Musli z suszonymi figami i prażonymi orzeszkami ziemnymi.,13.7,52.7,11.2
Honey Granola nuts,10,52,22
Cereales corn flakes,7.2,83,0.8
Vitanella owsianka mango-truskawka,11.3,57,7.7
Płatki zbożowe z suszonymi i kandyzowanymi owocami.,9.4,64.7,6.3
"Musli prażone z suszoną, słodzoną żurawiną.",9,64.2,14
Kasza manna błyskawiczna,8.7,76.7,1.3
Wafle ryżowo-kukurydziane o smaku karmelowym,3.9,81,4.7
Sante granola czekolada z truskawką,9,67,15
Owsianka z 5 owocami leśnymi,13,65,4.4
chrupersy,5.6,84,1.6
"Wawrzyniec - Pasta warzywna z ciecierzycą, pieprzem i czarnuszką",3.8,8.8,19.2
Boules de céréales Gout miel,6.1,88,1.4
Space Cookies,8.3,75,3
kasza kuskus durum,14,68,2
Bike,12,68,2
Crocks chocolat noir,7.5,67,12
Jaśki z kremem o smaku mlecznym,8.3,68,10
"Mąka pszenna, typ 650",13,65,1.5
Mąka tortowa pszenna. Typ 450,11,70,1.2
Just Plants Barista,1,7.5,3.1
Napój Ryżowy,0.1,9.6,1.3
Mąka Luksusowa,11.2,71,1
"Kasza jęczmienna, perłowa",11,65,0.6
Zimtinos,8.3,75,7.8
Mąka tortowa puszysta,10,74,1.1
Musli z owocami i orzechami,8,59.4,12.6
Cheerios Owsiany Jabłko i Cynamon,9.7,67,6.4
Wafle kukurydziane - Czarnuszka i sól morska,9.8,73,4.4
kasza orkiszowa pełnoziarnista,14,58,2
Protein Granola Go On,21,44,15
Świeże ciasto Filo,8.1,58,0.9
musli classic,11.9,62.2,6.7
Granola owocowa BIO,9.2,66,13
Baton musli z orzechami i miodem,8.7,57,19
Kasza manna błyskawiczna z pszenicy,8.7,74,1.3
Nougat Bits,6.7,62,22
"TRENDY LUNCH Premium Orkisz, Vermicelli, Pomidory",14,58,2.8
Mieszanka płatków zbożowych z rodzynkami i orzechami laskowymi,11.2,61.8,6.1
Stylesse Dark Chocolate,7.6,74,6.5
Mąka tortowa pszenna typ 450,12,73,1.5
Jaglanka z Chia owoce leśne,3.3,18,2
Kasza jęczmienna,6.7,77.1,2.4
Granola with 3 types of chocolate,12,63.7,10.1
Nesvita owsianka,11,68,4.5
Oat choco milk,0.8,10.4,1.2
Nesquik Alphabet,9.7,72.8,2.1
Cos na Zab,13,63,5.7
Фини точени кори за баница,8.7,62,0.3
KASZA Orkiszowa Premium,11,63,2.6
Kasza gryczana niepalona,12,65,3.1
Corn Flakes Honey And Nut,7.6,79,4.4
młynpol,11,70,0.7
"Stylesse Pétales de riz, blé complet & orge complète",7.9,81,1.4
Owsianka z maliną i żurawiną,13,65,4.6
"Owsianka ananas, kokos",10.8,51.2,16
Owsianka,13.7,62.3,6.5
Wafle ryżowe Gryka,8.7,76,3.2
Kukurydza super słodka,2.9,12,2.4
Maka,10.5,71,0.9
Mąka żytnia pełnoziarnista,9.7,60,1.8
Cosnazab,13,64,5.2
Owsianka z jabłkiem i cynamonem,11,63,5.4
"Zabkása, banános",12.9,61,5.2
Pesto Genovese 190g Barilla,4.7,11,47
Pesto alla Genovese,4.7,9.8,46
Passata di Pomodoro,1.6,5.1,0.5
Sriracha Sauce,2.3,28,1.2
Tomato Sauce With Basil,1.7,6.4,0.1
Pesto verde,2.6,3.2,46
Mayonnaise,0.8,3,70
Mayonese,1.5,2.9,76.3
Sauce Tomate aux légumes grillés,1.3,5.5,2.3
Piri-Piri,3.2,3,10.4
Ketchup Ɨagodny,1.4,23,0.5
Sriracha sauce mayo,0.9,26,19
Pesto allá genovese,4.1,4.8,35.9
Sås Senap & Dill - Sauce à la moutarde et à l'aneth,2.1,24,38
Harissa Paste,2.9,11,1
Musztarda sarepska ostra,3.7,8.3,5.1
Heinz Zero Sel Ajoute,1.6,5.4,0.1
Ketchup łagodny,1.7,25,0.1
Mayonnaise Kielecki,1.9,2.2,68
Mayonnaise Decorative,1.5,2.9,76.3
Sweet & sour stir fry sauce,0.2,32.7,0.1
Ketchup Pikantny,1.2,23.3,0.1
Sauce Salade Caesar,1.5,8.3,44.7
Ketchup pikantny HOT,1.3,22,0.5
Chow Mein Stir Fry Sauce,0.8,23,1.1
Majonez Dekoracyjny,1.5,2.9,76.3
Majonez Kielecki,1.9,2.3,68
Hummus und Guacamole,6.5,7,19.5
Moutarde Dijon,7.7,8.4,11
Gochujang (Korean Chili Paste 500g),6.2,42.1,1.4
Chrzan,2.7,12,9.8
Musztarda delikatesowa,3.9,9.7,3.4
Majonez lekki,1.1,8.4,33.2
Ketchup Lagodny,1.1,35,0.1
Sos czosnkowy,1,8.1,41
Majonez,0.9,3.7,76
Ketchup junior,1.7,22,0.5
Rote Currypaste,3.6,12,5.5
Musztarda delikatesowa sarepska,4.6,16,5.9
Ketchup premium sycylijski KETO do pizzy,2,6.2,0.5
Hummus klasyczny,9.8,7.9,21
Kucharek,7.9,25,0.1
Vegan aioli,1.2,8.1,50
Ketchup łagodny - Najsmaczniejszy,1.4,35,0.1
Heinz sos czosnkowy,1.9,11,35
Musztarda Stołowa,4.6,11,4.5
Sauce Tatare 6 x,0.9,7.6,63.7
Ketchup premium,2.2,7.2,0.5
Wloclawek Mild Tomato Ketchup,1.7,23,0.5
Pesto z bazylii,4.7,7.6,39
hummus classic,7.9,9.5,21
Ketchup Premium Łagodny,2.2,7.2,0.5
Hummus bruschetta,6.3,6.9,19.8
Pesto z tofu,4.5,3.2,22.2
Winiary Mayonnaise Decorative,1.5,2.9,76.3
Hummus falafel vegan,6.8,9.6,18.1
Ketchup Roleski,2.2,7.2,0.5
Hummus paprykowy,6.1,12,17
Knoblauchsauce,0.2,14,16
Guacamole,1.5,2.1,13.4
Sos hamburger,1.6,12,25
Curry-Gewürzketchup - scharf,0.6,39,0.5
Sauce tomate bio à la napolitaine,1.3,8.4,0.9
Hummus,7,13,20
Soybean Paste,12.8,19,3.8
Mustard Horcice kremzska,5.8,17.8,5.8
Pikantny Ketchup z charakterem,0.6,23,0.1
Sos meksykański,1.2,20,0.5
Curry-Gewürzketchup - delikat,0.6,39,0.5
Musztarda rosyjska,2.6,7.9,8.9
Tomato edchup,1.2,23.2,0.1
Passata,1.7,4.3,0.5
Ketchup Łagodny Premium,1.5,26,0.1
Majonez Napoleoński,0.9,3.5,70
Tomato Passata With Garlic,1.8,5.8,0.3
słodki sos barbecue,0.9,44,0.2
Hummus pomidorowy,6.7,12,15
Street Food sos do wrapów i kebabów,1,12,26
Sos pomidorowy z boczkiem,3.8,6,3
Sos pieprzowo-tymiankowy,0.5,8.7,26
Thai Curry Paste Red,4.7,11,1
Musztarda francuska,6.6,9.5,9.9
Sos Barbecue. Sos do grilla z cebulą i papryką,0.8,34,0.2
Sos 1000 wysp,0.7,11,25
Czosnkowy sos,0.9,8.3,38
Ketchup łagodny markowy,1.7,24,0.5
Passata rustica,1.3,5.5,0.2
Madras Spicy & Tangy Curry Kit,2,7.7,8
Majonez Premium Vegan,0.5,9.6,25
K-take it veggie Hummus Classic,7.4,7.5,20
Musztarda sarepska,5.4,8.7,3.5
Premium ketchup pikantny,1.9,23.7,0.2
Sos jalapeño,1,7.8,54.3
Majonez stołowy,0.8,4.9,51
Sos Do Spaghetti Oryginalny,1.7,9,1
Moutarde Kielecka Forte,5,7.2,4.6
Musztarda kremska,4.7,16,4.5
Sos Boloński z mięsem mielonym,3,6.8,3.2
Sos Chili con carne z mięsem mielonym,4.9,6.4,5.3
Słodko-kwaśny,0.8,17,0.5
Sos Boloński,1.2,7.6,0.9
Musztarda Dijon,5.1,1.8,11
Klasyczny sos barbecue,0.9,34,0.2
Fix spaghetti 4 sery z brokułami,14,45,23
Sos Sriracha mayo,0.8,13.8,20.2
Ajvar łagodny,1.2,6.1,3.7
Aioli sauce Mediterranean style,1.3,3.2,74
Do Karkuwek,1.2,31,0.5
Dressing 1000 wysp,0.9,10.4,15.5
Słodko-kwaśny łagodny sos do ryżu,0.8,19.9,0.2
Hummus z burakiem,6.6,8.8,13
Ketchup Hot,2.3,21,0.7
Ketchup super hot,1.9,20,0.5
Słodko-Pikantny Sos Chilli,0.3,47.4,0.1
Chunky Burger Souce,1,10,21
Musztarda miodowa,5.1,16.8,4.9
Knorr Fix Carbonara 45G,15,30,41
Sos hot-dog remulada,0.5,12,30
Hummus z pestkami dyni i słonecznika,6.5,9.2,27
Tagodny ketchup,0.5,23,0.5
Passata z czosnkiem,1.8,4.6,0.5
Hummus Trio,7.3,11.2,19.8
Basilico,1.6,4.9,0.2
Musztarda Sarepska premium,5.3,7.1,6.1
Ketchup łagodny Pudliszek,1.6,30,0.3
Moutarde,7.9,9.2,8.7
Medero Premium ketchup classic,1.9,23.7,0.2
Majonez wielkopolski,0.9,3.7,74
Ketchup czosnkowy,1.7,31,0.9
Sos do tortilli,1.6,22,22
Ketchup premium meksykański KETO,2.1,6.7,0.5
Sos tysiąca wysp,2.2,15,36
Majonez sałatkowy,1.1,4.6,63.4
Ketchup bio ekologiczny Roleski,1.8,20,0.5
Hummus z suszonymi pomidorami,5.8,12,25
Sos Asia Ananas,0.3,24,0.5
Musztarda czeska,5,19,6.9
It's all gravy,13,46,2.2
Musztarda Dijon premium,7.7,3.4,12
Spaghetti sos z pomidorów,1.8,7.4,0.9
Sweet chili,0.7,46,0.5
Ketchup,1.1,23,0.5
Pesto Alla Genovese z Bazylii,4.7,7.6,39
Musztarda stołowa łagodna,4.3,12,4.8
Sos tatarski,1,6.1,63.3
passierte Tomaten,1.2,4.6,0.2
Bio Hummus pomidorowy,7,13,20
Sos sezamowy,2.2,14,49
Hummus z sosem pomidorowym,6.8,10.6,18.9
Sos Red Thai,1.2,9,0.8
Sriracha zielona z konopiami,1.8,34,0.5
Vegan Majo,0.5,5,70
Classic Hummus,7,7.9,24.4
Horcice. Musztarda kremska,4.3,16,4.8
Musztarda grillowa łagodna,5.4,4.4,5.8
Ketchup nr VII,1.9,35,0.5
Ketchup nr. VII,1.9,34.7,0.1
Chlopski garnek,8.6,58,4.8
Majonez z Truflami,1.2,3.7,72
Sos słodko-kwaśny z ananasem,0.7,19,0.5
Majonez roleskiego.,1.2,4,74
Musztarda delikatesowa angielska.,7.8,19,15
Majonez delikatesowy stołowy,1.2,3.7,74
