Nazwa produktu,Białko (g),Węglowodany (g),Tłuszcz (g)
Szynka Zawędzana Wieprzowa,18,2.8,4
Kiełbasa Śląska,15,1.3,20
Żywiecka kiełbasa sucha z szynki.,27,0.6,8.5
Szynka,19,1.3,2
White sausage,0.5,2,25
Saucisse SÈCHE,24,3.3,39
Kindziuk,28,1.4,9
Pasztet wieprzowy,8.9,5.9,18
Parówki wieprzowe,12,1.3,23
Parówki wieprzowe,13,2.7,21
Pasztet ze szczypiorkiem,9,3.4,20
Berlinki chilli,13,2.2,21
Salceson Hetmański,18,0.5,13
Boczek surowy wędzony w kostce,15,0.5,24
Indyk,16,6.5,5.3
Boczek Wedzony,15,0.5,27
Szynka wieprzowa MARYNOWANA,23,0.9,7.3
Boczek parzony,17,0.5,26
Frytki z kurczaka,14,11,10
Polędwiczki panierowane z kurczaka,18,7.9,7.9
Golonka Wieprzowa,17,0.5,9
Udziec z indyka,15,0.6,4.9
Chicken kebab,15,2.6,11
Pasztet z boczkiem,11,9,21
Szynka,17,1.1,2.4
Lachsfleisch,21,2,2
Salami naturalne,17,3.1,40
Parówki z szynki,14,1.2,24
Salami ostródzkie,22,0.3,39
Danie tatarskie,18,0.5,5.5
"Salami 2 smaki. (Salami wytrawne, Salami)",20,1.6,33
Boczek wędzony,15,0.5,27
Pasztet drobiowy z pieprzem,7,4,15
Śląska kiełbasa,17,1,18
Ogonówka,16,1.2,6
Boczek wędzony surowy,16,0.6,23
Polędwica łososiowa wieprzowa,21,2,1.6
Ćwiartka z kurczaka w marynacie z łagodnej papryki,13,1.4,10
Pasztet drobiowy z pomidorami,8.5,4.3,14
mięso mielone z łopatki wieprzowej i wołowiny,19,0.5,14
Salami dojrzewające,21,3.7,32
Berlinki z indyka,13,1.8,18
Kiełbasa Żywiecka,22,0.5,14
Kiełbasa Śląska,15,1,18
Big Burger Beef Premium,18,0.5,20
Mięsiwo bez &quot;E&quot;,17,0.5,21
Schab,23,2,4
Pasztet wiejski,11,2,29
Salami z oliwkami,15,2.4,42
Salami Delikatesowe,17,3.1,40
Pasztet drobiowo-wieprzowy z czosnkiem.,7.7,4.5,17
Wieprzowina w sosie wlasnym,13,1.3,13
Szynka wieprzowa,16,1.3,3.2
Pasztet angielski drobiowy,11,4.1,8.5
"Pasta z kurczakiem, ciecierzycą i papryką",7.1,4,15
Sałatka z pieczonym mięsem z kurczaka, kukurydzą i białą kapustą,4.5,9.3,23
Pikantne skrzydełka panierowane z kurczaka,16,10,16
Berlinki Machos a la kabanos XXL,14,3.2,22
Wołowina w sosie własnym,15,0.6,14
Szynka Biała,18,1.2,2
Kiełbasa ze wsi,14,1,21
Parówki sokoliki,15.5,1.7,13
Mięsko ze smalczykiem,12,1.5,36
Kiełbasa Rakowska,22,3.5,9
Kiełbasa żywiecka z szynki.,27,0.1,12
Burger z kurczakiem,12,6.7,15
Kiełbasa krakowska sucha,30.3,0.4,5.9
Kiełbasa Śląska,15,1.2,18
Kabalnosy wieprzone,23,7.8,38
Szynka wieprzowa,17,1.5,2
Pasztet z borowikami,10,3,16
Turystyczna konserwa,11,3,20
Salami na kanapkę,17,3.4,41
Chicken strips panierowane,19,8.8,7.9
Kaczka,14,2,13
Gulasz Wołowy,16,1.1,6
Hamburger z kurczaka,11.8,3.1,16.5
Boczek dojrzewający wędzony,15,0.5,26
Boczek mielony,10,3.9,14
